Fam_ID,ID1,ID2,MC,GD,RT,RC
1,1,4,1,1,direct,Parent Child
1,1,10,2,2,direct,Grandparent
1,1,16,3,3,direct,Great Grandparent
1,1,22,4,4,direct,Great Great Grandparent
1,1,28,5,5,direct,Great Great Great Grandparent
1,1,37,6,6,direct,N/A
1,1,40,7,7,direct,N/A
1,2,4,1,1,direct,Parent Child
1,2,5,1,1,direct,Parent Child
1,2,6,1,1,direct,Parent Child
1,2,10,2,2,direct,Grandparent
1,2,11,2,2,direct,Grandparent
1,2,12,2,2,direct,Grandparent
1,2,16,3,3,direct,Great Grandparent
1,2,17,3,3,direct,Great Grandparent
1,2,18,3,3,direct,Great Grandparent
1,2,22,4,4,direct,Great Great Grandparent
1,2,23,4,4,direct,Great Great Grandparent
1,2,24,4,4,direct,Great Great Grandparent
1,2,28,5,5,direct,Great Great Great Grandparent
1,2,29,5,5,direct,Great Great Great Grandparent
1,2,30,5,5,direct,Great Great Great Grandparent
1,2,36,6,6,direct,N/A
1,2,37,6,6,direct,N/A
1,2,38,6,6,direct,N/A
1,2,40,7,7,direct,N/A
1,2,41,7,7,direct,N/A
1,2,42,7,7,direct,N/A
1,3,5,1,1,direct,Parent Child
1,3,6,1,1,direct,Parent Child
1,3,11,2,2,direct,Grandparent
1,3,12,2,2,direct,Grandparent
1,3,17,3,3,direct,Great Grandparent
1,3,18,3,3,direct,Great Grandparent
1,3,23,4,4,direct,Great Great Grandparent
1,3,24,4,4,direct,Great Great Grandparent
1,3,29,5,5,direct,Great Great Great Grandparent
1,3,30,5,5,direct,Great Great Great Grandparent
1,3,36,6,6,direct,N/A
1,3,38,6,6,direct,N/A
1,3,41,7,7,direct,N/A
1,3,42,7,7,direct,N/A
1,4,5,2,0,half,Half Sibling
1,4,6,2,0,half,Half Sibling
1,4,10,1,1,direct,Parent Child
1,4,11,3,1,half,N/A
1,4,12,3,1,half,N/A
1,4,16,2,2,direct,Grandparent
1,4,17,4,2,half,N/A
1,4,18,4,2,half,N/A
1,4,22,3,3,direct,Great Grandparent
1,4,23,5,3,half,N/A
1,4,24,5,3,half,N/A
1,4,28,4,4,direct,Great Great Grandparent
1,4,29,6,4,half,N/A
1,4,30,6,4,half,N/A
1,4,36,7,5,half,N/A
1,4,37,5,5,direct,Great Great Great Grandparent
1,4,38,7,5,half,N/A
1,4,40,6,6,direct,N/A
1,4,41,8,6,half,N/A
1,4,42,8,6,half,N/A
1,5,6,2,0,full,Full sibling
1,5,10,3,1,half,N/A
1,5,11,1,1,direct,Parent Child
1,5,12,3,1,full,Avuncular
1,5,16,4,2,half,N/A
1,5,17,2,2,direct,Grandparent
1,5,18,4,2,full,N/A
1,5,22,5,3,half,N/A
1,5,23,3,3,direct,Great Grandparent
1,5,24,5,3,full,N/A
1,5,28,6,4,half,N/A
1,5,29,4,4,direct,Great Great Grandparent
1,5,30,6,4,full,N/A
1,5,36,7,5,full,N/A
1,5,37,7,5,half,N/A
1,5,38,5,5,direct,Great Great Great Grandparent
1,5,40,8,6,half,N/A
1,5,41,6,6,direct,N/A
1,5,42,8,6,full,N/A
1,6,10,3,1,half,N/A
1,6,11,3,1,full,Avuncular
1,6,12,1,1,direct,Parent Child
1,6,16,4,2,half,N/A
1,6,17,4,2,full,N/A
1,6,18,2,2,direct,Grandparent
1,6,22,5,3,half,N/A
1,6,23,5,3,full,N/A
1,6,24,3,3,direct,Great Grandparent
1,6,28,6,4,half,N/A
1,6,29,6,4,full,N/A
1,6,30,4,4,direct,Great Great Grandparent
1,6,36,5,5,direct,Great Great Great Grandparent
1,6,37,7,5,half,N/A
1,6,38,7,5,full,N/A
1,6,40,8,6,half,N/A
1,6,41,8,6,full,N/A
1,6,42,6,6,direct,N/A
1,7,10,1,1,direct,Parent Child
1,7,16,2,2,direct,Grandparent
1,7,22,3,3,direct,Great Grandparent
1,7,28,4,4,direct,Great Great Grandparent
1,7,37,5,5,direct,Great Great Great Grandparent
1,7,40,6,6,direct,N/A
1,8,11,1,1,direct,Parent Child
1,8,17,2,2,direct,Grandparent
1,8,23,3,3,direct,Great Grandparent
1,8,29,4,4,direct,Great Great Grandparent
1,8,38,5,5,direct,Great Great Great Grandparent
1,8,41,6,6,direct,N/A
1,9,12,1,1,direct,Parent Child
1,9,18,2,2,direct,Grandparent
1,9,24,3,3,direct,Great Grandparent
1,9,30,4,4,direct,Great Great Grandparent
1,9,36,5,5,direct,Great Great Great Grandparent
1,9,42,6,6,direct,N/A
1,10,11,4,0,half,Half First Cousin
1,10,12,4,0,half,Half First Cousin
1,10,16,1,1,direct,Parent Child
1,10,17,5,1,half,N/A
1,10,18,5,1,half,N/A
1,10,22,2,2,direct,Grandparent
1,10,23,6,2,half,N/A
1,10,24,6,2,half,N/A
1,10,28,3,3,direct,Great Grandparent
1,10,29,7,3,half,N/A
1,10,30,7,3,half,N/A
1,10,36,8,4,half,N/A
1,10,37,4,4,direct,Great Great Grandparent
1,10,38,8,4,half,N/A
1,10,40,5,5,direct,Great Great Great Grandparent
1,10,41,9,5,half,N/A
1,10,42,9,5,half,N/A
1,11,12,4,0,full,Full First Cousin
1,11,16,5,1,half,N/A
1,11,17,1,1,direct,Parent Child
1,11,18,5,1,full,Avuncular Once Removed
1,11,22,6,2,half,N/A
1,11,23,2,2,direct,Grandparent
1,11,24,6,2,full,N/A
1,11,28,7,3,half,N/A
1,11,29,3,3,direct,Great Grandparent
1,11,30,7,3,full,N/A
1,11,36,8,4,full,N/A
1,11,37,8,4,half,N/A
1,11,38,4,4,direct,Great Great Grandparent
1,11,40,9,5,half,N/A
1,11,41,5,5,direct,Great Great Great Grandparent
1,11,42,9,5,full,N/A
1,12,16,5,1,half,N/A
1,12,17,5,1,full,Avuncular Once Removed
1,12,18,1,1,direct,Parent Child
1,12,22,6,2,half,N/A
1,12,23,6,2,full,N/A
1,12,24,2,2,direct,Grandparent
1,12,28,7,3,half,N/A
1,12,29,7,3,full,N/A
1,12,30,3,3,direct,Great Grandparent
1,12,36,4,4,direct,Great Great Grandparent
1,12,37,8,4,half,N/A
1,12,38,8,4,full,N/A
1,12,40,9,5,half,N/A
1,12,41,9,5,full,N/A
1,12,42,5,5,direct,Great Great Great Grandparent
1,13,16,1,1,direct,Parent Child
1,13,22,2,2,direct,Grandparent
1,13,28,3,3,direct,Great Grandparent
1,13,37,4,4,direct,Great Great Grandparent
1,13,40,5,5,direct,Great Great Great Grandparent
1,14,17,1,1,direct,Parent Child
1,14,23,2,2,direct,Grandparent
1,14,29,3,3,direct,Great Grandparent
1,14,38,4,4,direct,Great Great Grandparent
1,14,41,5,5,direct,Great Great Great Grandparent
1,15,18,1,1,direct,Parent Child
1,15,24,2,2,direct,Grandparent
1,15,30,3,3,direct,Great Grandparent
1,15,36,4,4,direct,Great Great Grandparent
1,15,42,5,5,direct,Great Great Great Grandparent
1,16,17,6,0,half,Half Second Cousin
1,16,18,6,0,half,Half Second Cousin
1,16,22,1,1,direct,Parent Child
1,16,23,7,1,half,N/A
1,16,24,7,1,half,N/A
1,16,28,2,2,direct,Grandparent
1,16,29,8,2,half,N/A
1,16,30,8,2,half,N/A
1,16,36,9,3,half,N/A
1,16,37,3,3,direct,Great Grandparent
1,16,38,9,3,half,N/A
1,16,40,4,4,direct,Great Great Grandparent
1,16,41,10,4,half,N/A
1,16,42,10,4,half,N/A
1,17,18,6,0,full,Full Second Cousin
1,17,22,7,1,half,N/A
1,17,23,1,1,direct,Parent Child
1,17,24,7,1,full,Avuncular Twice Removed
1,17,28,8,2,half,N/A
1,17,29,2,2,direct,Grandparent
1,17,30,8,2,full,N/A
1,17,36,9,3,full,N/A
1,17,37,9,3,half,N/A
1,17,38,3,3,direct,Great Grandparent
1,17,40,10,4,half,N/A
1,17,41,4,4,direct,Great Great Grandparent
1,17,42,10,4,full,N/A
1,18,22,7,1,half,N/A
1,18,23,7,1,full,Avuncular Twice Removed
1,18,24,1,1,direct,Parent Child
1,18,28,8,2,half,N/A
1,18,29,8,2,full,N/A
1,18,30,2,2,direct,Grandparent
1,18,36,3,3,direct,Great Grandparent
1,18,37,9,3,half,N/A
1,18,38,9,3,full,N/A
1,18,40,10,4,half,N/A
1,18,41,10,4,full,N/A
1,18,42,4,4,direct,Great Great Grandparent
1,19,22,1,1,direct,Parent Child
1,19,28,2,2,direct,Grandparent
1,19,37,3,3,direct,Great Grandparent
1,19,40,4,4,direct,Great Great Grandparent
1,20,23,1,1,direct,Parent Child
1,20,29,2,2,direct,Grandparent
1,20,38,3,3,direct,Great Grandparent
1,20,41,4,4,direct,Great Great Grandparent
1,21,24,1,1,direct,Parent Child
1,21,30,2,2,direct,Grandparent
1,21,36,3,3,direct,Great Grandparent
1,21,42,4,4,direct,Great Great Grandparent
1,22,23,8,0,half,Half Third Cousin
1,22,24,8,0,half,Half Third Cousin
1,22,28,1,1,direct,Parent Child
1,22,29,9,1,half,N/A
1,22,30,9,1,half,N/A
1,22,36,10,2,half,N/A
1,22,37,2,2,direct,Grandparent
1,22,38,10,2,half,N/A
1,22,40,3,3,direct,Great Grandparent
1,22,41,11,3,half,N/A
1,22,42,11,3,half,N/A
1,23,24,8,0,full,Full Third Cousin
1,23,28,9,1,half,N/A
1,23,29,1,1,direct,Parent Child
1,23,30,9,1,full,Avuncular Thrice Removed
1,23,36,10,2,full,N/A
1,23,37,10,2,half,N/A
1,23,38,2,2,direct,Grandparent
1,23,40,11,3,half,N/A
1,23,41,3,3,direct,Great Grandparent
1,23,42,11,3,full,N/A
1,24,28,9,1,half,N/A
1,24,29,9,1,full,Avuncular Thrice Removed
1,24,30,1,1,direct,Parent Child
1,24,36,2,2,direct,Grandparent
1,24,37,10,2,half,N/A
1,24,38,10,2,full,N/A
1,24,40,11,3,half,N/A
1,24,41,11,3,full,N/A
1,24,42,3,3,direct,Great Grandparent
1,25,28,1,1,direct,Parent Child
1,25,37,2,2,direct,Grandparent
1,25,40,3,3,direct,Great Grandparent
1,26,29,1,1,direct,Parent Child
1,26,38,2,2,direct,Grandparent
1,26,41,3,3,direct,Great Grandparent
1,27,30,1,1,direct,Parent Child
1,27,36,2,2,direct,Grandparent
1,27,42,3,3,direct,Great Grandparent
1,28,29,10,0,half,Half Forth Cousin
1,28,30,10,0,half,Half Forth Cousin
1,28,36,11,1,half,N/A
1,28,37,1,1,direct,Parent Child
1,28,38,11,1,half,N/A
1,28,40,2,2,direct,Grandparent
1,28,41,12,2,half,N/A
1,28,42,12,2,half,N/A
1,29,30,10,0,full,Full Fourth Cousin
1,29,36,11,1,full,Avuncular Forth Removed
1,29,37,11,1,half,N/A
1,29,38,1,1,direct,Parent Child
1,29,40,12,2,half,N/A
1,29,41,2,2,direct,Grandparent
1,29,42,12,2,full,N/A
1,30,36,1,1,direct,Parent Child
1,30,37,11,1,half,N/A
1,30,38,11,1,full,Avuncular Forth Removed
1,30,40,12,2,half,N/A
1,30,41,12,2,full,N/A
1,30,42,2,2,direct,Grandparent
1,31,37,1,1,direct,Parent Child
1,31,40,2,2,direct,Grandparent
1,32,38,1,1,direct,Parent Child
1,32,41,2,2,direct,Grandparent
1,33,36,1,1,direct,Parent Child
1,33,42,2,2,direct,Grandparent
1,34,40,1,1,direct,Parent Child
1,35,41,1,1,direct,Parent Child
1,36,37,12,0,half,Half Fifth Cousin
1,36,38,12,0,full,Full Fifth Cousin
1,36,40,13,1,half,N/A
1,36,41,13,1,full,Avuncular Fifth Removed
1,36,42,1,1,direct,Parent Child
1,37,38,12,0,half,Half Fifth Cousin
1,37,40,1,1,direct,Parent Child
1,37,41,13,1,half,N/A
1,37,42,13,1,half,N/A
1,38,40,13,1,half,N/A
1,38,41,1,1,direct,Parent Child
1,38,42,13,1,full,Avuncular Fifth Removed
1,39,42,1,1,direct,Parent Child
1,40,41,14,0,half,N/A
1,40,42,14,0,half,N/A
1,41,42,14,0,full,N/A
